Listennummer,Partei,Stimmen,Stimmen-Prozent,Gemeinde-Nummer,Gemeinde-Name,Stimmberechtigte,Wahlzettel,Stimmbeteiligung
6,EVP E,46,2.8912635,340,Rütschelen,441,136,0.30839002267573695
7,Die Mitte,98,6.159648,340,Rütschelen,441,136,0.30839002267573695
8,EDU,23,1.4456317,340,Rütschelen,441,136,0.30839002267573695
9,SVP,690,43.36895,340,Rütschelen,441,136,0.30839002267573695
10,FDP,144,9.050912,340,Rütschelen,441,136,0.30839002267573695
11,jll,4,0.2514142,340,Rütschelen,441,136,0.30839002267573695
12,GLP,121,7.60528,340,Rütschelen,441,136,0.30839002267573695
13,JGLP,13,0.8170961,340,Rütschelen,441,136,0.30839002267573695
14,Grüne,101,6.3482084,340,Rütschelen,441,136,0.30839002267573695
15,JGOA,26,1.6341922,340,Rütschelen,441,136,0.30839002267573695
16,ULO,5,0.31426775,340,Rütschelen,441,136,0.30839002267573695
17,DM,36,2.262728,340,Rütschelen,441,136,0.30839002267573695
1,SP Frauen,165,11.685553,341,Schwarzhäusern,426,118,0.27699530516431925
2,SP Männer,97,6.8696885,341,Schwarzhäusern,426,118,0.27699530516431925
3,JUSO,6,0.4249292,341,Schwarzhäusern,426,118,0.27699530516431925
4,EVP,13,0.92067987,341,Schwarzhäusern,426,118,0.27699530516431925
5,jevp,6,0.4249292,341,Schwarzhäusern,426,118,0.27699530516431925
6,EVP E,16,1.1331445,341,Schwarzhäusern,426,118,0.27699530516431925
7,Die Mitte,74,5.240793,341,Schwarzhäusern,426,118,0.27699530516431925
8,EDU,39,2.7620397,341,Schwarzhäusern,426,118,0.27699530516431925
9,SVP,691,48.93768,341,Schwarzhäusern,426,118,0.27699530516431925
10,FDP,153,10.835693,341,Schwarzhäusern,426,118,0.27699530516431925
11,jll,13,0.92067987,341,Schwarzhäusern,426,118,0.27699530516431925
12,GLP,30,2.124646,341,Schwarzhäusern,426,118,0.27699530516431925
13,JGLP,7,0.4957507,341,Schwarzhäusern,426,118,0.27699530516431925
14,Grüne,62,4.390935,341,Schwarzhäusern,426,118,0.27699530516431925
15,JGOA,33,2.3371105,341,Schwarzhäusern,426,118,0.27699530516431925
16,ULO,4,0.28328612,341,Schwarzhäusern,426,118,0.27699530516431925
17,DM,3,0.2124646,341,Schwarzhäusern,426,118,0.27699530516431925
1,SP Frauen,421,5.8692317,342,Thunstetten,2338,612,0.2617621899059025
2,SP Männer,606,8.448348,342,Thunstetten,2338,612,0.2617621899059025
3,JUSO,78,1.0874112,342,Thunstetten,2338,612,0.2617621899059025
4,EVP,977,13.620522,342,Thunstetten,2338,612,0.2617621899059025
5,jevp,48,0.6691761,342,Thunstetten,2338,612,0.2617621899059025
6,EVP E,170,2.3699987,342,Thunstetten,2338,612,0.2617621899059025
